"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI"
"PWY-6385",0.00913471249019454,-0.00805962649223309,-0.0193846590010845
"PWY-6386",0.00862147006068569,-0.00714641018095113,-0.0192968305665491
"PWY-6387",0.0097817313592405,-0.00777408119344466,-0.0218301653980698
"PWY-6396",-0.00417352299237219,-0.0447695549182064,0.0810254458564818
"PWY-6397",-0.209975415287614,0.571054152752803,-0.211569677401604
"PWY-6404",-0.202101574344079,0.559097444442256,-0.219297571449892
"PWY-6435",-0.194180549181789,0.114217957477918,0.404567255917868
"PWY-6467",-0.0237600445588194,0.0178797161337949,0.0392041026942232
"PWY-6470",-0.0173496621957459,0.0349891484636158,-0.00823052082864719
"PWY-6471",0.611121750824164,-0.630600087954391,-0.860157951553617
"PWY-6478",-0.0251034677596066,0.0433287857573561,0.00196359810834528
"PWY-6486",-0.00124181516048558,0.0737094005677605,-0.11233134848636
"PWY-6501",0.152848800008077,-0.218758671513888,-0.126176166468126
"PWY-6527",0.0225014543033053,-0.0297174657125075,-0.0251263170707935
"PWY-6531",-0.193474675954173,0.317122064086129,0.072686345919951
"PWY-6562",0.102832802370996,-0.133613828960891,-0.102309480249471
"PWY-6565",-0.569776084611465,0.918932567565968,0.11389279959113
"PWY-6588",0.171186846148505,0.198843854738534,-0.753350913345998
"PWY-6595",-0.0429476003355454,0.0774492673637093,0.0011654715118363
"PWY-6606",-0.00158371820058873,0.00895344040297769,-0.0142056987152801
"PWY-6607",-0.0433429577136485,0.077856713302291,0.00171415383208083
"PWY-6608",-0.00158371820058873,0.00895344040297769,-0.0142056987152801
"PWY-6609",0.0124216315358674,-0.014490752778022,-0.0190002683640533
"PWY-6612",0.0132939546079663,-0.0240170676010254,-0.00619149618497504
"PWY-6628",-0.00129181642812384,0.00131309864010629,-0.00268409252878968
"PWY-6630",-6.67835126088901e-05,-0.000370150946300561,-0.00370047525464064
"PWY-6641",0.220027062649779,-0.208815095529748,-0.358881577600993
