"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI","se_(Intercept)","se_RFIClass2MidRFI","se_RFIClass3HighRFI","W_(Intercept)","W_RFIClass2MidRFI","W_RFIClass3HighRFI","p_(Intercept)","p_RFIClass2MidRFI","p_RFIClass3HighRFI","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","passed_ss_(Intercept)","passed_ss_RFIClass2MidRFI","passed_ss_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"Saccharofermentanaceae",0.0689006895924889,-0.0577814678153471,-0.136329648253744,0.15102717033628,0.185090738103445,0.204729769606451,0.456213868266706,-0.312179142011168,-0.665900462428152,0.650382911253251,0.756315121715992,0.508800454074724,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Selenomonadaceae_42771",-0.104893041877608,-0.0120316725717643,0.323583134403111,0.459458148011985,0.52206887699282,0.520070264850578,-0.228297272192182,-0.0230461402738048,0.622191185062428,0.820449402400486,0.981715359879268,0.536956180542171,0.968682111838657,0.993543255781427,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Sphaerochaetaceae",-0.0424476855689988,0.102611814560001,-0.16002643339207,0.393008927468437,0.463579446921638,0.488028799828844,-0.108006924530761,0.221346772902437,-0.327903667669188,0.914709337120465,0.826322169096762,0.745262046858447,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Sphingobacteriaceae",-0.101021039604564,0.239196694530636,-0.0482537888449158,0.209610085559127,0.254809633264909,0.2927688026648,-0.481947418393988,0.938727046798731,-0.164818752564162,0.632537003480832,0.353648610599345,0.869937975443589,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Succinivibrionaceae",-0.224918767874846,-0.0811035031301263,0.801390747626485,0.721916055343908,0.780912973189135,0.774548635270861,-0.311558063032272,-0.103857287450241,1.03465516706544,0.756784118907237,0.917734099702099,0.306238905364804,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Thermoactinomycetaceae_367745",0.356501092202147,-0.597563117690628,-0.344293067742904,0.31326208260271,0.392285215660503,0.443079693596159,1.1380282262066,-1.52328737825231,-0.777045467709262,0.279288782470418,0.155904862918402,0.453518459220634,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Thermoguttaceae",-0.164598115114453,0.173788101614982,0.20245989083698,0.183583611670262,0.21954211495429,0.252468457793384,-0.896583924986133,0.791593456458985,0.80192152558982,0.374609344245614,0.432660804844943,0.426721785036029,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Treponemataceae",-0.0719895391091889,0.000545306203254919,0.200365669364916,0.18641451326568,0.217217107369212,0.231897583786364,-0.386179905459338,0.00251042014995643,0.864026550399517,0.70114391105584,0.998007832286925,0.392056482900902,0.968682111838657,0.998007832286925,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"UBA1067",0.156413050293543,-0.310802668409101,0.0251677261253336,0.205816629721947,0.276724848803149,0.301785726349532,0.759963130796833,-1.12314694453115,0.0833960122294985,0.451239931417112,0.267331607195729,0.933906543346681,0.968682111838657,0.988329030448414,0.980601870514015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"UBA1242",-0.149200418899416,0.148815778508219,0.209649443525252,0.383304989064875,0.425630894754,0.440727704198607,-0.389247265639329,0.349635753283909,0.475689278273228,0.698970796109812,0.728280060772079,0.636649068406917,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
